logical clock: 117 | internal event | global time: 16:02:09.026982
logical clock: 118 | internal event | global time: 16:02:09.197470
logical clock: 119 | sent: 3 | global time: 16:02:09.367985
logical clock: 120 | internal event | global time: 16:02:09.538979
logical clock: 121 | internal event | global time: 16:02:09.708173
logical clock: 122 | received | global time: 16:02:09.878173 | queue length: 0
logical clock: 123 | internal event | global time: 16:02:10.048253
logical clock: 124 | internal event | global time: 16:02:10.218969
logical clock: 125 | sent: 3 | global time: 16:02:10.394147
logical clock: 126 | internal event | global time: 16:02:10.578064
logical clock: 127 | internal event | global time: 16:02:10.750637
logical clock: 128 | internal event | global time: 16:02:10.923593
logical clock: 129 | sent: 3 | global time: 16:02:11.095935
logical clock: 130 | sent: 3 | global time: 16:02:11.283663
logical clock: 131 | sent: 1 | global time: 16:02:11.467423
logical clock: 132 | internal event | global time: 16:02:11.638886
logical clock: 133 | internal event | global time: 16:02:11.814761
logical clock: 134 | internal event | global time: 16:02:12.001886
logical clock: 135 | internal event | global time: 16:02:12.188831
logical clock: 136 | internal event | global time: 16:02:12.360988
logical clock: 137 | internal event | global time: 16:02:12.533407
logical clock: 138 | received | global time: 16:02:12.703222 | queue length: 0
logical clock: 139 | sent: 3 | global time: 16:02:12.876745
logical clock: 140 | internal event | global time: 16:02:13.050730
logical clock: 141 | internal event | global time: 16:02:13.223179
logical clock: 142 | internal event | global time: 16:02:13.395704
logical clock: 143 | internal event | global time: 16:02:13.567981
logical clock: 144 | internal event | global time: 16:02:13.751485
logical clock: 145 | internal event | global time: 16:02:13.926832
logical clock: 146 | internal event | global time: 16:02:14.114404
logical clock: 147 | received | global time: 16:02:14.299253 | queue length: 0
logical clock: 148 | internal event | global time: 16:02:14.469338
logical clock: 149 | internal event | global time: 16:02:14.641038
logical clock: 150 | internal event | global time: 16:02:14.817630
logical clock: 151 | internal event | global time: 16:02:15.009717
logical clock: 152 | internal event | global time: 16:02:15.189504
logical clock: 153 | internal event | global time: 16:02:15.375967
logical clock: 154 | internal event | global time: 16:02:15.551770
logical clock: 155 | sent: 1 | global time: 16:02:15.722968
logical clock: 156 | internal event | global time: 16:02:15.900693
logical clock: 157 | internal event | global time: 16:02:16.083316
logical clock: 158 | sent: 2 | global time: 16:02:16.256260
logical clock: 159 | internal event | global time: 16:02:16.427771
logical clock: 160 | sent: 2 | global time: 16:02:16.597693
logical clock: 161 | internal event | global time: 16:02:16.768073
logical clock: 162 | internal event | global time: 16:02:16.938752
logical clock: 163 | internal event | global time: 16:02:17.111015
logical clock: 164 | internal event | global time: 16:02:17.292745
logical clock: 165 | received | global time: 16:02:17.472896 | queue length: 0
logical clock: 166 | internal event | global time: 16:02:17.656494
logical clock: 167 | internal event | global time: 16:02:17.825491
logical clock: 168 | sent: 2 | global time: 16:02:17.997496
logical clock: 169 | internal event | global time: 16:02:18.169409
logical clock: 170 | internal event | global time: 16:02:18.339908
logical clock: 171 | internal event | global time: 16:02:18.511851
logical clock: 172 | sent: 3 | global time: 16:02:18.695285
logical clock: 173 | internal event | global time: 16:02:18.880160
logical clock: 174 | internal event | global time: 16:02:19.053975
logical clock: 175 | received | global time: 16:02:19.238975 | queue length: 0
logical clock: 176 | internal event | global time: 16:02:19.407939
logical clock: 177 | internal event | global time: 16:02:19.578902
logical clock: 178 | internal event | global time: 16:02:19.749760
logical clock: 179 | sent: 1 | global time: 16:02:19.920633
logical clock: 180 | internal event | global time: 16:02:20.094156
logical clock: 181 | sent: 1 | global time: 16:02:20.278790
logical clock: 182 | internal event | global time: 16:02:20.454579
logical clock: 183 | sent: 2 | global time: 16:02:20.638951
logical clock: 184 | internal event | global time: 16:02:20.809252
logical clock: 185 | internal event | global time: 16:02:20.979573
logical clock: 186 | internal event | global time: 16:02:21.151099
logical clock: 187 | internal event | global time: 16:02:21.321346
logical clock: 188 | internal event | global time: 16:02:21.493611
logical clock: 189 | internal event | global time: 16:02:21.665099
logical clock: 190 | internal event | global time: 16:02:21.837080
logical clock: 191 | received | global time: 16:02:22.009751 | queue length: 0
logical clock: 192 | sent: 1 | global time: 16:02:22.185145
logical clock: 193 | internal event | global time: 16:02:22.370830
logical clock: 194 | internal event | global time: 16:02:22.542128
logical clock: 195 | internal event | global time: 16:02:22.713131
logical clock: 196 | sent: 3 | global time: 16:02:22.884697
logical clock: 197 | internal event | global time: 16:02:23.073071
logical clock: 198 | internal event | global time: 16:02:23.256897
logical clock: 199 | sent: 1 | global time: 16:02:23.426911
logical clock: 200 | internal event | global time: 16:02:23.599091
logical clock: 201 | internal event | global time: 16:02:23.772968
logical clock: 202 | internal event | global time: 16:02:23.942966
logical clock: 203 | sent: 3 | global time: 16:02:24.114968
logical clock: 204 | sent: 2 | global time: 16:02:24.286872
logical clock: 205 | internal event | global time: 16:02:24.457373
logical clock: 206 | received | global time: 16:02:24.627661 | queue length: 0
logical clock: 207 | sent: 2 | global time: 16:02:24.799967
logical clock: 208 | sent: 3 | global time: 16:02:24.984956
logical clock: 209 | internal event | global time: 16:02:25.157275
logical clock: 210 | internal event | global time: 16:02:25.326967
logical clock: 211 | internal event | global time: 16:02:25.498163
logical clock: 212 | internal event | global time: 16:02:25.682482
logical clock: 213 | internal event | global time: 16:02:25.853127
logical clock: 214 | sent: 1 | global time: 16:02:26.029031
logical clock: 215 | internal event | global time: 16:02:26.202792
logical clock: 216 | internal event | global time: 16:02:26.386029
logical clock: 217 | internal event | global time: 16:02:26.569908
logical clock: 218 | internal event | global time: 16:02:26.741381
logical clock: 219 | internal event | global time: 16:02:26.911960
logical clock: 220 | sent: 2 | global time: 16:02:27.082622
logical clock: 221 | internal event | global time: 16:02:27.257909
logical clock: 222 | sent: 3 | global time: 16:02:27.441203
logical clock: 223 | internal event | global time: 16:02:27.625892
logical clock: 224 | internal event | global time: 16:02:27.795398
logical clock: 225 | internal event | global time: 16:02:27.968579
